Date (yyyy/mm/dd),Extent (km2)
2023/01/01,12706378.753219862
2023/01/02,12818631.234973826
2023/01/03,12862791.118718065
2023/01/04,12899025.23751386
2023/01/05,12988706.010375502
2023/01/06,12979084.70518948
2023/01/07,13107585.435390912
2023/01/08,13181747.876632912
2023/01/09,13276770.477547754
2023/01/10,13233941.135086874
2023/01/11,13235579.134530015
2023/01/12,13271549.19222672
2023/01/13,13349541.811123647
2023/01/14,13377749.600003308
2023/01/15,13401344.251366261
2023/01/16,13499753.16716538
2023/01/17,13525294.240019834
2023/01/18,13491458.269829206
2023/01/19,13555983.559628565
2023/01/20,13542836.566579131
2023/01/21,13622769.467836326
2023/01/22,13588565.898660295
2023/01/23,13611298.559688827
2023/01/24,13721449.09747349
2023/01/25,13761469.370762564
2023/01/26,13707132.994845904
2023/01/27,13737864.549313841
2023/01/28,13734524.384049034
2023/01/29,13653095.470360396
2023/01/30,13685526.973510744
2023/01/31,13730325.987566307
2023/02/01,13833511.400461884
2023/02/02,13966873.50717611
2023/02/03,13984610.366942996
2023/02/04,14065938.79909872
2023/02/05,14049600.31410133
2023/02/06,14067805.291607816
2023/02/07,14150519.224219533
2023/02/08,14102308.918153917
2023/02/09,14077751.019365385
2023/02/10,14019139.88509497
2023/02/11,14076614.091658324
2023/02/12,14175740.493606234
2023/02/13,14210181.303721033
2023/02/14,14301130.20166415
2023/02/15,14386567.718222117
2023/02/16,14274984.770220065
2023/02/17,14219247.87342469
2023/02/18,14258977.17220442
2023/02/19,14334734.91817062
2023/02/20,14369579.615702527
2023/02/21,14386574.41860505
2023/02/22,14358589.299040895
2023/02/23,14355846.459005566
2023/02/24,14361608.573018963
2023/02/25,14405006.302842429
2023/02/26,14485192.422536489
2023/02/27,14495450.58941141
2023/02/28,14461404.213184835
2023/03/01,14560932.767132897
2023/03/02,14625332.376879377
2023/03/03,14637427.070437001
2023/03/04,14656871.599750072
2023/03/05,14615887.078034021
2023/03/06,14534817.650332963
2023/03/07,14561993.134241825
2023/03/08,14548287.091717266
2023/03/09,14539735.056750273
2023/03/10,14465241.888941072
2023/03/11,14442837.661445137
2023/03/12,14400060.185573842
2023/03/13,14366962.0714637
2023/03/14,14335921.153135233
2023/03/15,14327825.215195457
2023/03/16,14322803.456033416
2023/03/17,14357907.211083623
2023/03/18,14334796.026540292
2023/03/19,14330541.527354075
2023/03/20,14411533.84136884
2023/03/21,14310870.108099855
2023/03/22,14309830.789058795
2023/03/23,14351960.066924129
2023/03/24,14444746.927266777
2023/03/25,14417785.017294185
2023/03/26,14353918.182051176
2023/03/27,14307729.656060414
2023/03/28,14300408.569812115
2023/03/29,14236049.693356141
2023/03/30,14179354.025027217
2023/03/31,14145915.783960236
2023/04/01,14074316.273038954
2023/04/02,14066840.995196464
2023/04/03,14073241.212454718
2023/04/04,14048843.80412911
2023/04/05,14023474.74658173
2023/04/06,13983829.369458541
2023/04/07,14021240.669430021
2023/04/08,13998707.108113455
2023/04/09,13999714.936024511
2023/04/10,14045963.355127204
2023/04/11,14011261.533884553
2023/04/12,13976760.295323582
2023/04/13,13917825.96454435
2023/04/14,13912385.111747421
