yyyy/mm/dd,Extent(km2)
2012-01-01,13390987.77736472
2012-01-02,13428374.603863014
2012-01-03,13401989.061676593
2012-01-04,13408361.335473083
2012-01-05,13459313.648103364
2012-01-06,13470814.799114615
2012-01-07,13545140.306515766
2012-01-08,13657579.326093195
2012-01-09,13737893.104069065
2012-01-10,13806202.314801957
2012-01-11,13850493.0786802
2012-01-12,13904941.845015496
2012-01-13,13900853.821418576
2012-01-14,13879702.79320242
2012-01-15,13747291.31464916
2012-01-16,13680204.104308236
2012-01-17,13643065.32490837
2012-01-18,13715631.965007681
2012-01-19,13752945.49794488
2012-01-20,13792686.362747801
2012-01-21,13925851.445997447
2012-01-22,14016809.760794958
2012-01-23,14032448.601333985
2012-01-24,14058788.069038272
2012-01-25,14050156.641162796
2012-01-26,14047546.955826651
2012-01-27,14014823.072048446
2012-01-28,14074592.24734914
2012-01-29,14138037.994517917
2012-01-30,14137881.017928468
2012-01-31,14147575.695834307
2012-02-01,14207005.651326789
2012-02-02,14237464.562509663
2012-02-03,14195349.151138304
2012-02-04,14202516.549047133
2012-02-05,14220710.623959888
2012-02-06,14250619.372156084
2012-02-07,14408907.387635808
2012-02-08,14424997.021978939
2012-02-09,14393465.60378097
2012-02-10,14449477.437861593
2012-02-11,14518090.632958816
2012-02-12,14532431.151700636
2012-02-13,14595202.070112918
2012-02-14,14719864.131944247
2012-02-15,14780593.03660086
2012-02-16,14778759.045970034
2012-02-17,14777313.3897291
2012-02-18,14784308.379036421
2012-02-19,14756903.893774943
2012-02-20,14755185.447881712
2012-02-21,14772139.639658269
2012-02-22,14796656.798010148
2012-02-23,14868266.174473645
2012-02-24,14850846.26667855
2012-02-25,14927322.836693438
2012-02-26,14980186.396908317
2012-02-27,14968162.555278782
2012-02-28,15028652.181757363
2012-02-29,15057901.341971293
2012-03-01,15161220.968017466
2012-03-02,15323846.304744959
2012-03-03,15254687.323591538
2012-03-04,15300159.016616859
2012-03-05,15253237.306896944
2012-03-06,15200062.72264793
2012-03-07,15201034.619752131
2012-03-08,15144635.259962244
2012-03-09,15200966.528861953
2012-03-10,15237105.112762038
2012-03-11,15242670.330351736
2012-03-12,15235548.68574401
2012-03-13,15137165.619253278
2012-03-14,15184356.294646591
2012-03-15,15320038.265601458
2012-03-16,15326916.093411636
2012-03-17,15300868.181869946
2012-03-18,15270734.300726635
2012-03-19,15320431.684824012
2012-03-20,15228815.157632893
2012-03-21,15159707.993451413
2012-03-22,15126174.666434063
2012-03-23,15140069.748200795
2012-03-24,15191503.844614336
2012-03-25,15121164.432329196
2012-03-26,15133971.05865454
2012-03-27,15129383.792662136
2012-03-28,15116795.129548943
2012-03-29,15160457.809732724
2012-03-30,15116109.540124876
2012-03-31,15118737.02951884
2012-04-01,15110630.08555192
2012-04-02,15090699.450833641
2012-04-03,15075514.890052095
2012-04-04,14958736.250319494
2012-04-05,14829972.648218796
2012-04-06,14922892.243373033
2012-04-07,14827239.373108378
2012-04-08,14795754.535943203
2012-04-09,14795197.361124191
2012-04-10,14734409.716864727
2012-04-11,14673414.46652024
2012-04-12,14662265.509194365
2012-04-13,14618298.45428959
2012-04-14,14660986.202421641
2012-04-15,14659904.343068732
2012-04-16,14684338.161006974
2012-04-17,14586760.897175308
2012-04-18,14608688.087475583
2012-04-19,14598865.695526242
2012-04-20,14590703.162475457
2012-04-21,14512866.699042672
2012-04-22,14390090.003197698
2012-04-23,14307507.05264183
2012-04-24,14242333.22056987
2012-04-25,14081294.956380825
2012-04-26,13945255.493208153
2012-04-27,13912986.299118327
2012-04-28,13953096.19262558
2012-04-29,13856435.317341998
2012-04-30,13745214.113232458
2012-05-01,13614627.48429316
2012-05-02,13611657.545588972
2012-05-03,13504000.309317298
2012-05-04,13451937.177477814
2012-05-05,13407377.654958667
2012-05-06,13425215.302039087
2012-05-07,13448698.592801014
2012-05-08,13448630.915685099
2012-05-09,13341045.486153336
2012-05-10,13330007.831526702
2012-05-11,13303983.508207565
2012-05-12,13256119.474342704
2012-05-13,13212004.639677841
2012-05-14,13085069.91385651
2012-05-15,13037820.563476408
2012-05-16,12953117.26799966
2012-05-17,12911326.382625705
2012-05-18,12943579.99483248
