yyyy/mm/dd,Extent(km2)
2023-01-01,4969503.442260452
2023-01-02,4737612.402276396
2023-01-03,4637743.40431866
2023-01-04,4478236.574224267
2023-01-05,4345070.471515497
2023-01-06,4202624.805140511
2023-01-07,4047102.1535763983
2023-01-08,3945987.705355026
2023-01-09,3842075.5932192896
2023-01-10,3768515.5361932022
2023-01-11,3688163.965453415
2023-01-12,3582189.309226844
2023-01-13,3528104.452637012
2023-01-14,3452221.4437896605
2023-01-15,3356704.001890144
2023-01-16,3295488.705953326
2023-01-17,3287087.8532032347
2023-01-18,3165421.659158924
2023-01-19,3093783.270508602
2023-01-20,2986856.587522754
2023-01-21,2930159.5347756413
2023-01-22,2817643.4686286035
2023-01-23,2748099.3424885557
2023-01-24,2693007.916346991
2023-01-25,2601079.8736279635
2023-01-26,2522980.0345832566
2023-01-27,2448660.1640875884
2023-01-28,2418405.6244775704
2023-01-29,2387549.2481294307
2023-01-30,2307078.855404561
2023-01-31,2289299.3523709583
2023-02-01,2244300.317136184
2023-02-02,2203391.475312402
2023-02-03,2130472.525893165
2023-02-04,2113109.2455740124
2023-02-05,2120735.3985710465
2023-02-06,2107787.394331137
2023-02-07,2037242.3949628288
2023-02-08,2003738.81007031
2023-02-09,1912017.4195625414
2023-02-10,1890957.2555903466
2023-02-11,1895183.2009299123
2023-02-12,1883260.176625577
2023-02-13,1869435.1717106558
2023-02-14,1879160.4531118204
2023-02-15,1800566.5188867024
2023-02-16,1848835.1917541588
2023-02-17,1848692.0920742892
2023-02-18,1858945.6180488132
2023-02-19,1817577.1350081842
2023-02-20,1831921.1399230394
2023-02-21,1806780.6118154805
2023-02-22,1875022.0094351654
2023-02-23,1841459.0755089193
2023-02-24,1887290.5267408574
2023-02-25,1883009.488492498
2023-02-26,1930911.780445424
2023-02-27,1920009.093581506
2023-02-28,1915414.599920988
2023-03-01,1966195.3179516054
2023-03-02,1983601.5213168007
2023-03-03,1989441.015144848
2023-03-04,2012965.593030694
